"ID","Source File","Section / Heading","Current Text / Problem","Category","Recommended Fix","Needs Alex Answer? Yes/No","Proposed Answer if already known","Files likely affected","Priority"
"CUR-001","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md; 01_drafting/internal-hr-guidance/draft/EDrill_Family_Bursary_Kobchok_Participation_Appendix_DRAFT.md; 01_drafting/policy/draft/EDrill_Family_Bursary_Charter_DRAFT.md","Labour-hire agency eligibility / participation","Active drafts contained approved wording plus an alternative: eligible employees of EDrill's contractor working on EDrill rigs.","Replace with confirmed wording","Remove the alternative contractor wording and retain only the appointed labour-hire agency wording.","No","Use: eligible employees of the appointed labour-hire agency at the time of application who are assigned to EDrill rigs.","Eligibility Rules; Labour-Hire Appendix; Charter","Major"
"CUR-002","comms/drafts/EDrill_Family_Bursary_Manager_Rig_Communication_Note_DRAFT.md","Labour-hire communication wording","Communication draft contained two labour-hire wording options, including eligible contractor personnel assigned to EDrill rigs.","Replace with confirmed wording","Remove the competing communication alternative and use the confirmed appointed labour-hire agency wording.","No","Use: eligible employees of the appointed labour-hire agency at the time of application who are assigned to EDrill rigs.","Manager/Rig Communication Note; any final launch comms","Major"
"CUR-003","01_drafting/policy/draft/EDrill_Family_Bursary_Charter_DRAFT.md; 01_drafting/policy/draft/EDrill_Family_Bursary_Procedure_SOP_DRAFT.md; 01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md; 01_drafting/internal-hr-guidance/draft/EDrill_Family_Bursary_Payment_and_Evidence_Rules_DRAFT.md; 01_drafting/internal-hr-guidance/draft/EDrill_Family_Bursary_Privacy_and_Records_Appendix_DRAFT.md","Document control header","Resolved: effective date / controlled issue date selected.","Replace with confirmed wording","Use Phase 1 scheme effective date of 1 October 2026 where applicable; use Controlled issue date: To be completed in Final Issue Approval Record for control appendices that need issue control rather than a scheme effective date.","No","Phase 1 scheme effective date is 1 October 2026. Privacy and records appendix uses controlled issue date to be completed in the Final Issue Approval Record.","Core policy, SOP, eligibility, payment/evidence, privacy appendix","Minor"
"CUR-004","01_drafting/policy/draft/EDrill_Family_Bursary_Charter_DRAFT.md; 01_drafting/policy/draft/EDrill_Family_Bursary_Procedure_SOP_DRAFT.md; 01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md; 01_drafting/internal-hr-guidance/draft/EDrill_Family_Bursary_Payment_and_Evidence_Rules_DRAFT.md; 01_drafting/internal-hr-guidance/draft/EDrill_Family_Bursary_Privacy_and_Records_Appendix_DRAFT.md","Document control header","Resolved: document owners selected.","Replace with confirmed wording","Apply owners by document function.","No","Policy / Charter owner: Bursary Committee Chairman; SOP / administration owner: Bangkok Office / Bursary Administrator; Finance and payment owner: Finance / Payroll; Privacy and records owner: Bursary Administrator with Finance support; Communications owner: Chairman / Communications approver prior to publication.","Core policy, SOP, eligibility, payment/evidence, privacy appendix","Minor"
"CUR-005","01_drafting/policy/draft/EDrill_Family_Bursary_Procedure_SOP_DRAFT.md","5. Award Year Timeline","Resolved: first-year launch and application timetable selected.","Replace with confirmed wording","Update SOP and launch evidence controls with confirmed target dates while leaving evidence/status gates open until completed.","No","Internal announcement: 1 October 2026; application opens: 1 October 2026; application closes: 31 October 2026; Finance eligibility screen completed by: 15 November 2026; Committee review completed by: 30 November 2026; first payment: next available payroll cycle after award approval.","SOP; Launch Evidence Register; comms drafts","Major"
"CUR-006","README.md","Key Contacts / Ownership","Resolved: README working contacts selected.","Replace with confirmed wording","Replace placeholder contacts with confirmed working contacts.","No","Committee Chairman: Alex Maroske; HR/Admin contact: Malee Pasutharnchart; Finance contact: Malee Pasutharnchart / Jacquline Ho; Operations contact: Luke Byrne; QHSSE / records / conflict support: Sittikorn Intahkaew.","README; Final Issue Approval Record; Launch Evidence Register","Minor"
"CUR-007","01_drafting/governance/open-questions/EDrill_Family_Bursary_Draft_Society_Constitution_Placeholder_FUTURE.md","Draft future constitution placeholder","Future ROS/society placeholder includes a registered address to be confirmed.","Archive/reference only","Leave as future/reference material; exclude from Phase 1 final issue pack.","No","No ROS activation and no fundraising in Phase 1.","Future ROS placeholder only","Minor"
"CUR-008","01_drafting/governance/open-questions/EDrill_Family_Bursary_Decision_Questionnaire.md","Reference-only questionnaire","Questionnaire still contains superseded prompts and is useful only as historical decision support.","Archive/reference only","Keep marked as reference-only or move to archive after final issue; do not use as an active decision list.","No","Later Decision Log entries supersede older prompts.","Decision Questionnaire","Minor"
"CUR-009","01_drafting/open-questions/EDrill_Family_Bursary_Marcus_Clarification_Question.md; 01_drafting/governance/open-questions/EDrill_Family_Bursary_Marcus_Clarification_Question.md","Historical Marcus clarification note","Historical clarification documents may confuse active users if left near live drafting material.","Archive/reference only","Keep only as historical/reference material or archive after final issue.","No","No further Marcus clarification is outstanding; Committee applies means-tested, need-weighted assessment if applications exceed places.","Historical Marcus clarification notes","Minor"
"CUR-010","01_drafting/open-questions/EDrill_Family_Bursary_Thailand_Tax_Labour_DD_Note.md; 01_drafting/governance/open-questions/EDrill_Family_Bursary_Thailand_Tax_Labour_DD_Note.md","Historical tax/labour due diligence note","Historical due-diligence wording contains cautionary tax discussion and examples of wording to avoid.","Archive/reference only","Keep as historical/reference material only; do not treat as active policy wording.","No","Recipient-taxable treatment is confirmed; recipient handles their own tax position.","Historical Thailand tax/labour DD notes","Minor"
