"ID","Source File","Section / Heading","Extracted Text","Issue Type","Severity","Recommended Treatment","Known Decision / Recommended Answer","Question for Alex / Committee","Proposed Codex Action After Answer","Status"
"DEC-001","01_drafting/application-form/draft/EDrill_Family_Bursary_Applicant_Declaration_and_Consent_DRAFT.md","The EDrill Family Bursary - Applicant Declaration and Consent","Important: this form reflects the Phase 1 Chairman/Committee-approved internal compliance position; no external legal advice obtained.","Warning / Control Text","Administrative","Keep as warning/control","Appeals go to the Chairman of the Committee.","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-002","01_drafting/application-form/draft/EDrill_Family_Bursary_Applicant_Declaration_and_Consent_DRAFT.md","3. Understanding of Bursary Conditions","- payment is subject to continued eligibility, evidence, and Finance approval;","Approval Evidence Needed","Administrative","Convert to approval evidence item","","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Finance/Admin Evidence"
"DEC-003","01_drafting/application-form/draft/EDrill_Family_Bursary_Applicant_Declaration_and_Consent_DRAFT.md","3. Understanding of Bursary Conditions","- the Company may amend, suspend, or discontinue the Bursary subject to applicable law and approval requirements.","Approval Evidence Needed","Administrative","Convert to approval evidence item","","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Committee Approval"
"DEC-004","01_drafting/application-form/draft/EDrill_Family_Bursary_Applicant_Declaration_and_Consent_DRAFT.md","4. Consent to Collection and Use of Data","Subject to the approved privacy notice, I consent to the collection and use of my personal data and my child's personal data for the purpose of administering The EDrill Family Bursary, including:","Approval Evidence Needed","Administrative","Convert to approval evidence item","","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Committee Approval"
"DEC-005","01_drafting/application-form/draft/EDrill_Family_Bursary_Applicant_Declaration_and_Consent_DRAFT.md","4. Consent to Collection and Use of Data","- labour-hire agency verification, if applicable;","Wording Choice","Minor","Decide","","Which wording or option should be retained in the final issue version?","Remove alternatives and retain the selected wording.","Needs Alex Decision"
"DEC-006","01_drafting/application-form/draft/EDrill_Family_Bursary_Applicant_Declaration_and_Consent_DRAFT.md","5. Consent to Verification","Subject to applicable law and approved privacy wording, I authorise HR, Finance, Operations, Committee members, and other authorised personnel to verify information relevant to my application with:","Approval Evidence Needed","Administrative","Convert to approval evidence item","","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Finance/Admin Evidence"
"DEC-007","01_drafting/application-form/draft/EDrill_Family_Bursary_Applicant_Declaration_and_Consent_DRAFT.md","5. Consent to Verification","- relevant labour-hire agency or contractor representatives, if applicable.","Wording Choice","Minor","Decide","","Which wording or option should be retained in the final issue version?","Remove alternatives and retain the selected wording.","Needs Alex Decision"
"DEC-008","01_drafting/application-form/draft/EDrill_Family_Bursary_Applicant_Declaration_and_Consent_DRAFT.md","6. Consent to Limited Internal Sharing","Finance/HR receives raw applications. Finance verifies salary eligibility internally. Where practicable, Committee review should use anonymised or minimised information, such as application reference numbers and salary bands, rather than unnecessary detailed personal data.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-009","01_drafting/application-form/draft/EDrill_Family_Bursary_Application_Form_DRAFT.md","The EDrill Family Bursary - Application Form","Important: this form must not be issued until the privacy notice, consent wording, payment route, and eligibility rules are approved.","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-010","01_drafting/application-form/draft/EDrill_Family_Bursary_Application_Form_DRAFT.md","The EDrill Family Bursary - Application Form","A family may apply for multiple eligible children. A separate application should be completed for each child. Each child/application is means-tested and assessed separately under the approved criteria and the annual award cap.","Already Decided / Needs Propagation","Minor","No action","Families may apply for multiple children; each child/application is means-tested separately under the annual cap.","","Leave unchanged if wording already reflects known decision.","Already Answered"
